Date,Open,High,Low,Close,Adj Close,Volume
22-04-2019,45400,45900,45100,45350,40438.75,6006957
23-04-2019,45050,45500,45000,45200,40304.97656,6920566
24-04-2019,45400,45650,44150,44750,39903.71484,13299267
25-04-2019,44250,45000,44100,44650,39814.55469,10868965
26-04-2019,44200,45000,43800,44850,39992.88672,9739982
29-04-2019,45150,46150,45100,46150,41152.11328,8777517
30-04-2019,46000,46300,45350,45850,40884.58594,11121273
02-05-2019,45500,46150,45400,45900,40929.17969,8625126
03-05-2019,45900,46050,45300,45300,40394.16406,6562916
07-05-2019,45250,45300,44400,44850,39992.88672,12014907
08-05-2019,44300,44850,44200,44250,39457.86719,10398754
09-05-2019,43900,44250,42450,42450,37852.80469,23029718
10-05-2019,42600,43450,42450,42900,38254.06641,14579512
13-05-2019,42500,43200,42350,42650,38031.14063,7635079
14-05-2019,41300,43100,41300,42650,38031.14063,11563730
15-05-2019,42700,43050,42550,42550,37941.98047,7670185
16-05-2019,42350,42400,41350,41550,37050.26563,13687828
17-05-2019,41950,42050,40850,41200,36738.17969,13357951
20-05-2019,41650,42100,41550,42000,37451.53516,15752397
21-05-2019,42600,43950,42350,43150,38476.99609,18812133
22-05-2019,43700,43800,42400,43500,38789.08984,11033339
23-05-2019,43900,44000,43250,43850,39101.1875,12259006
24-05-2019,43800,43800,42400,42700,38075.72656,13966305
27-05-2019,42500,43000,42350,42650,38031.14063,8066669
28-05-2019,42550,42950,42150,42550,37941.98047,24506881
29-05-2019,41850,42100,41300,41800,37273.19922,14930618
30-05-2019,42200,42700,42150,42550,37941.98047,11766018
31-05-2019,42600,42800,42150,42500,37897.39453,11365999
03-06-2019,42950,43900,42500,43800,39056.59766,15466580
04-06-2019,43400,43700,43000,43450,38744.50781,9913497
05-06-2019,44050,44200,43700,43900,39145.77734,12464135
07-06-2019,43600,44350,43450,44200,39413.28516,11683682
10-06-2019,44300,44850,44050,44800,39948.30469,8792182
11-06-2019,44800,45000,44550,44850,39992.88672,6664872
12-06-2019,44800,45050,44300,44600,39769.96094,8607439
13-06-2019,44200,44400,43400,43750,39012.01172,16906541
14-06-2019,43750,44150,43300,44000,39234.9375,9322873
17-06-2019,43750,44050,43400,43900,39145.77734,11890424
18-06-2019,43750,44500,43650,44350,39547.04297,7994928
19-06-2019,45450,45450,45000,45350,40438.75,10417690
20-06-2019,44850,45500,44850,45500,40572.5,7147785
21-06-2019,45750,45800,45200,45700,40750.82813,9454913
24-06-2019,45200,45800,45200,45500,40572.5,6085066
25-06-2019,45200,45800,45200,45600,40661.66016,7076774
26-06-2019,45800,46000,45600,45700,40750.82813,9226097
27-06-2019,46000,46600,45750,46500,41787.89453,12603534
28-06-2019,47000,47000,46700,47000,42237.22656,12949231
01-07-2019,47350,47400,46250,46600,41877.75781,11383522
02-07-2019,46200,46900,45850,46250,41563.22656,8463073
03-07-2019,45750,46350,45200,45400,40799.36719,9669368
04-07-2019,45250,46200,45250,46000,41338.57031,6365573
05-07-2019,45950,45950,45250,45650,41024.03125,7235395
08-07-2019,44750,44800,44350,44400,39900.70313,7823843
09-07-2019,44850,45450,44700,45100,40529.76172,7646421
10-07-2019,45550,46150,45500,45550,40934.16797,9253930
11-07-2019,46350,46550,46150,46200,41518.30078,10989751
12-07-2019,46350,46400,45800,46300,41608.15234,5245804
15-07-2019,45950,46650,45750,46450,41742.96484,4717226
16-07-2019,46450,46850,46300,46850,42102.42578,7407824
17-07-2019,46150,46350,45950,46050,41383.49219,5216602
18-07-2019,46450,46450,45650,46100,41428.43359,5143554
19-07-2019,46650,46950,46600,46800,42057.49609,8819393
22-07-2019,46800,47300,46600,47200,42416.96094,9009109
23-07-2019,47350,47550,47050,47300,42506.83203,9061381
24-07-2019,47100,47150,46250,46400,41698.01953,8756522
25-07-2019,47150,47200,46600,47200,42416.96094,8408838
26-07-2019,46650,47150,46550,47150,42372.03125,7873886
29-07-2019,46800,47050,46000,46100,41428.43359,6856846
30-07-2019,46300,46850,46300,46550,41832.82813,5551014
31-07-2019,46200,46600,45000,45350,40754.4375,12872916
01-08-2019,44900,45500,44850,45200,40619.625,7811181
02-08-2019,44550,45500,44300,44950,40394.96484,12151374
05-08-2019,44350,44600,43600,43950,39496.30078,14214086
06-08-2019,42500,43800,42500,43500,39091.90234,15083824
07-08-2019,43600,43900,43100,43200,38822.30859,10002533
08-08-2019,43250,43500,42650,42650,38328.03125,16926881
09-08-2019,43250,43350,43050,43150,38777.36719,9685147
12-08-2019,44000,44000,43550,43700,39271.64453,8466169
13-08-2019,43500,43500,42950,43000,38642.57422,7276979
14-08-2019,43900,44250,43500,43700,39271.64453,8750135
16-08-2019,43800,43900,43300,43900,39451.37109,9528115
19-08-2019,44350,44350,43500,43600,39181.76563,6014218
20-08-2019,43950,44600,43550,44450,39945.625,8434205
21-08-2019,44350,44800,44150,44500,39990.56641,6571717
22-08-2019,44500,44700,43850,44050,39586.16797,8061177
23-08-2019,43800,44200,43650,43950,39496.30078,5017381
26-08-2019,43050,43800,42950,43600,39181.76563,7954949
27-08-2019,43650,44200,43600,44050,39586.16797,16883932
28-08-2019,44100,44400,43750,44150,39676.03516,5758333
29-08-2019,44200,44200,43050,43400,39002.03125,10768862
30-08-2019,43750,44300,43750,44000,39541.23828,9899073
02-09-2019,44850,44850,43650,43800,39361.5,7185537
03-09-2019,43550,43650,43100,43250,38867.23828,9774941
04-09-2019,43250,44100,43150,44100,39631.10547,12441837
05-09-2019,44800,46100,44450,45700,41068.96094,18297430
06-09-2019,46500,46500,45850,46300,41608.15234,9896562
09-09-2019,46450,47000,46300,46900,42147.36328,9434157
10-09-2019,47100,47200,46550,47000,42237.22656,9231792
11-09-2019,47300,47400,46800,47150,42372.03125,16141619
16-09-2019,47000,47100,46400,47100,42327.09766,15550926
17-09-2019,47000,47100,46800,46900,42147.36328,7006280
18-09-2019,46900,47700,46800,47700,42866.29688,10413027
19-09-2019,48050,49200,47850,49150,44169.35156,16461413
20-09-2019,49400,49600,49100,49200,44214.29297,15460210
23-09-2019,49250,49300,49000,49300,44304.15234,7568553
24-09-2019,49050,49650,48850,49500,44483.89063,7871955
25-09-2019,49200,49350,48800,48900,43944.69141,9187141
26-09-2019,49000,49250,48900,49200,44214.29297,8494756
27-09-2019,48000,48700,48000,48400,43810.58203,8048041
30-09-2019,48050,49250,47900,49050,44398.94141,9497119
01-10-2019,48900,49100,48650,48850,44217.90625,6206035
02-10-2019,48350,48400,47600,47600,43086.44531,8382463
04-10-2019,47400,48650,47350,48000,43448.51172,9331695
07-10-2019,48350,48700,47650,47750,43222.21484,7047273
08-10-2019,47900,49000,47600,48900,44263.17188,14239367
10-10-2019,48200,49200,48000,48550,43946.35547,18639855
11-10-2019,49000,49450,48800,49150,44489.46875,7783275
14-10-2019,50000,50300,49850,50000,45258.86328,11130635
15-10-2019,49900,50200,49900,50100,45349.38281,6058105
16-10-2019,50700,50900,50400,50700,45892.49219,9136282
17-10-2019,50500,50600,50100,50500,45711.44531,6701380
18-10-2019,50300,50900,49650,49900,45168.33984,8483106
21-10-2019,49900,50400,49800,50300,45530.42188,4406531
22-10-2019,50800,51500,50700,51200,46345.07422,10898729
23-10-2019,51300,51500,50800,51200,46345.07422,8663880
24-10-2019,52500,52500,50500,50700,45892.49219,21185785
25-10-2019,50800,51200,50500,50900,46073.52734,7879897
28-10-2019,50700,51500,50700,51300,46435.59375,6431522
29-10-2019,51400,51700,50800,51100,46254.55859,7581629
30-10-2019,50700,50800,50200,50400,45620.9375,8959435
31-10-2019,51000,51400,50300,50400,45620.9375,10304777
01-11-2019,50600,51200,50400,51200,46345.07422,8467846
04-11-2019,51700,52300,51400,52300,47340.77734,13012411
05-11-2019,52400,52700,52100,52700,47702.83984,10581034
06-11-2019,52900,53500,52700,53300,48245.94531,14361133
07-11-2019,53400,53400,52400,52900,47883.87891,9257116
08-11-2019,53200,53300,52000,52100,47159.73828,11603290
11-11-2019,52200,52200,51400,51600,46707.15234,8185952
12-11-2019,51800,52600,51600,52600,47612.32031,6576148
13-11-2019,52500,52500,52000,52500,47521.81641,6225196
14-11-2019,51900,52800,51900,52800,47793.35156,12010018
15-11-2019,52900,53700,52600,53700,48608.02344,9703360
18-11-2019,53600,53800,53200,53500,48426.98438,7746554
19-11-2019,53200,53500,52700,53500,48426.98438,8907177
20-11-2019,53400,53400,52000,52000,47069.22266,12560070
21-11-2019,51600,52100,50600,51000,46164.03906,14298646
22-11-2019,51000,51600,50900,51600,46707.15234,8478310
25-11-2019,52200,52600,51700,51800,46888.19141,9050625
26-11-2019,51900,52900,51800,51800,46888.19141,27372226
27-11-2019,51800,52300,51600,52200,47250.25391,7546261
28-11-2019,51900,52100,51300,51300,46435.59375,6833885
29-11-2019,51200,51400,50200,50300,45530.42188,11179334
02-12-2019,50900,51300,50400,50400,45620.9375,18877252
03-12-2019,49800,50300,49500,49900,45168.33984,12059812
04-12-2019,49600,49850,49000,49450,44761.01953,13246549
05-12-2019,50200,50400,49500,49500,44806.26953,10449715
06-12-2019,50100,50900,49950,50400,45620.9375,11414563
09-12-2019,50900,51400,50700,51200,46345.07422,8470627
10-12-2019,51000,51600,50700,51500,46616.62891,6882771
11-12-2019,51500,52200,51400,51900,46978.70703,11379521
12-12-2019,53000,53300,52700,53300,48245.94531,29178697
13-12-2019,54500,54800,53900,54700,49513.19531,18120261
16-12-2019,54500,54900,54300,54700,49513.19531,11512405
17-12-2019,55800,56700,55400,56700,51323.55078,19358433
18-12-2019,56700,57200,56000,56300,50961.48047,15558208
19-12-2019,57000,57300,55500,56000,50689.92969,14180520
20-12-2019,56100,56500,55600,56000,50689.92969,12095519
23-12-2019,56100,56400,55100,55500,50237.33594,9839252
24-12-2019,55600,55700,54800,55000,49784.74609,11868463
26-12-2019,54700,55400,54400,55400,50146.82813,9645034
27-12-2019,55700,56900,55500,56500,51471.41797,12313056
30-12-2019,56200,56600,55700,55800,50833.71484,8356767
02-01-2020,55500,56000,55000,55200,50287.125,12993228
03-01-2020,56000,56600,54900,55500,50560.41406,15422255
06-01-2020,54900,55600,54600,55500,50560.41406,10278951
07-01-2020,55700,56400,55600,55800,50833.71484,10009778
08-01-2020,56200,57400,55900,56800,51744.71875,23501171
09-01-2020,58400,58600,57400,58600,53384.51172,24102579
10-01-2020,58800,59700,58300,59500,54204.41406,16000170
13-01-2020,59600,60000,59100,60000,54659.91797,11359139
14-01-2020,60400,61000,59900,60000,54659.91797,16906295
15-01-2020,59500,59600,58900,59000,53748.90625,14300928
16-01-2020,59100,60700,59000,60700,55297.60938,14381774
17-01-2020,61900,62000,61000,61300,55844.20703,16025661
20-01-2020,62000,62800,61700,62400,56846.30078,12528855
21-01-2020,62000,62400,61200,61400,55935.30859,11142693
22-01-2020,60500,62600,60400,62300,56755.19922,15339565
23-01-2020,61800,61800,60700,60800,55388.71094,14916555
28-01-2020,59400,59400,58300,58800,53566.71094,23664541
29-01-2020,59100,59700,58800,59100,53840.00781,16446102
30-01-2020,58800,58800,56800,57200,52109.10547,20821939
31-01-2020,57800,58400,56400,56400,51380.31641,19749457
03-02-2020,55500,57400,55200,57200,52109.10547,23995260
04-02-2020,57100,59000,56800,58900,53657.80859,21800192
05-02-2020,60000,60200,58900,59500,54204.41406,19278165
06-02-2020,60100,61100,59700,61100,55662.01172,14727159
07-02-2020,61100,61200,59700,60400,55024.3125,16402493
10-02-2020,59200,59800,59100,59700,54386.60938,13107121
11-02-2020,59800,60700,59700,59900,54568.80469,11071231
12-02-2020,60300,60700,59700,60500,55115.40625,12904207
13-02-2020,61200,61600,60500,60700,55297.60938,18449775
14-02-2020,60900,61900,60200,61800,56299.70703,13276067
17-02-2020,61600,62000,61200,61500,56026.41016,8740596
18-02-2020,60800,60900,59700,59800,54477.71094,16674266
19-02-2020,59800,60400,59400,60200,54842.10547,12951496
20-02-2020,60700,61300,59600,60000,54659.91797,14591924
21-02-2020,58800,59800,58500,59200,53931.10547,13777393
24-02-2020,57400,58100,56800,56800,51744.71875,25627537
25-02-2020,56200,58000,56200,57900,52746.80859,23885408
26-02-2020,56000,57000,56000,56500,51471.41797,25483102
27-02-2020,56300,56900,55500,55900,50924.81641,23209541
28-02-2020,55000,55500,54200,54200,49376.11719,30054227
02-03-2020,54300,55500,53600,55000,50104.91406,30403412
03-03-2020,56700,56900,55100,55400,50469.32031,30330295
04-03-2020,54800,57600,54600,57400,52291.30469,24765728
05-03-2020,57600,58000,56700,57800,52655.70703,21698990
06-03-2020,56500,57200,56200,56500,51471.41797,18716656
09-03-2020,56500,56500,56500,56500,51471.41797,0
10-03-2020,53800,54900,53700,54600,49740.52344,32106554
11-03-2020,54300,54400,52000,52100,47463.02734,45707281
12-03-2020,52100,52100,52100,52100,47463.02734,0
13-03-2020,47450,51600,46850,49950,45504.375,59462933
16-03-2020,50100,50900,48800,48900,44547.82422,33339821
17-03-2020,46900,49650,46700,47300,43090.22656,51218151
18-03-2020,47750,48350,45600,45600,41541.53125,40152623
19-03-2020,46400,46650,42300,42950,39127.38672,56925513
20-03-2020,44150,45500,43550,45400,41359.33203,49730008
23-03-2020,42600,43550,42400,42500,38717.4375,41701626
24-03-2020,43850,46950,43050,46950,42771.37891,49801908
25-03-2020,48950,49600,47150,48650,44320.07422,52735922
26-03-2020,49000,49300,47700,47800,43545.72656,42185129
27-03-2020,49600,49700,46850,48300,44001.22656,39896178
30-03-2020,47050,48350,46550,47850,43913.12109,26797395
31-03-2020,48000,48500,47150,47750,43821.34375,30654261
01-04-2020,47450,47900,45800,45800,42031.78906,27259532
02-04-2020,46200,46850,45350,46800,42949.51563,21621076
03-04-2020,47400,47600,46550,47000,43133.05859,22784682
06-04-2020,47500,48800,47250,48700,44693.19141,23395726
07-04-2020,49650,50200,49000,49600,45519.14453,31524034
08-04-2020,49600,49750,48600,48600,44601.41406,25010314
09-04-2020,49750,49800,48700,49100,45060.28125,22628058
10-04-2020,48950,49250,48650,49250,45197.94531,17839111
13-04-2020,48650,48900,48300,48300,44326.09766,14431800
14-04-2020,48800,49200,48300,49000,44968.50781,14206216
16-04-2020,49350,49350,48550,49000,44968.50781,23349760
17-04-2020,50800,52000,50300,51400,47171.04688,32041675
20-04-2020,51400,51400,50000,50100,45978.00781,21866354
21-04-2020,49400,49700,48700,49250,45197.94531,27407543
22-04-2020,48700,50000,48350,49850,45748.57813,18613864
23-04-2020,50200,50300,49500,49850,45748.57813,18754442
24-04-2020,49650,49750,49000,49350,45289.71094,15618347
27-04-2020,49350,50000,49100,49850,45748.57813,14049471
28-04-2020,49850,50100,49300,50100,45978.00781,16095399
29-04-2020,49900,50500,49600,50000,45886.23047,15604533
04-05-2020,48900,49100,48500,48500,44509.64063,26083749
06-05-2020,49000,49200,48500,49200,45152.05078,18070225
07-05-2020,49200,49300,48700,48800,44784.95703,13884411
08-05-2020,49100,49350,48800,48800,44784.95703,15319700
11-05-2020,48900,49250,48300,48400,44417.875,16357743
12-05-2020,48400,48500,47550,47900,43959.01563,23433590
13-05-2020,47250,48550,47200,48550,44555.53125,20223277
14-05-2020,47750,48100,47650,48000,44050.78516,19305974
15-05-2020,48400,48450,47700,47850,43913.12109,18463118
18-05-2020,47950,49100,47600,48800,44784.95703,20481981
19-05-2020,50100,50500,49700,50300,46161.54688,25168295
20-05-2020,50000,50200,49800,50000,45886.23047,14896899
21-05-2020,50300,50400,49850,49950,45840.35156,14949266
22-05-2020,49600,49800,48600,48750,44739.07813,19706284
25-05-2020,48750,48900,48450,48850,44830.85156,14337913
26-05-2020,48700,49450,48600,49250,45197.94531,15127490
27-05-2020,48950,50000,48800,49900,45794.45313,19548479
28-05-2020,51100,51200,49900,50400,46253.32422,31309318
29-05-2020,50000,50700,49700,50700,46528.64063,27596961
01-06-2020,50800,51200,50600,51200,46987.50391,16949183
02-06-2020,51000,51500,50800,51400,47171.04688,14247933
03-06-2020,51800,55000,51700,54500,50015.98438,49257814
04-06-2020,55800,57000,54600,54600,50107.76953,40220334
05-06-2020,54400,55900,54000,55500,50933.71484,22743629
08-06-2020,56400,56500,54700,54900,50383.07813,25634965
09-06-2020,55800,56500,54400,55500,50933.71484,23998831
10-06-2020,55100,55900,54900,55400,50841.94922,16742493
11-06-2020,54500,55100,53200,54300,49832.45313,33815123
12-06-2020,52100,52800,51500,52300,47997,26976019
15-06-2020,51400,52000,49900,49900,45794.45313,28772921
16-06-2020,51200,52100,50600,52100,47813.46484,21808375
17-06-2020,52100,52900,51300,52200,47905.22266,26672595
18-06-2020,52200,52300,51600,52300,47997,15982926
19-06-2020,52600,52900,51600,52900,48547.63672,18157985
22-06-2020,52000,52600,51800,52000,47721.68359,13801350
23-06-2020,52500,52800,51100,51400,47171.04688,18086152
24-06-2020,51900,53900,51600,52900,48547.63672,24519552
25-06-2020,52100,53000,51900,51900,47629.91406,18541624
26-06-2020,52800,53900,52200,53300,48914.72266,21575360
29-06-2020,52500,53200,52000,52400,48410.29297,17776925
30-06-2020,53900,53900,52800,52800,48779.83203,21157172
01-07-2020,53400,53600,52400,52600,48595.0625,16706143
02-07-2020,52100,52900,52100,52900,48872.22266,14142583
03-07-2020,53000,53600,52700,53600,49518.92578,11887868
06-07-2020,54000,55000,53800,55000,50812.33203,19856623
07-07-2020,55800,55900,53400,53400,49334.14844,30760032
08-07-2020,53600,53900,52900,53000,48964.60938,19664652
09-07-2020,53200,53600,52800,52800,48779.83203,17054850
10-07-2020,53100,53200,52300,52700,48687.45313,13714746
13-07-2020,53300,53800,53100,53400,49334.14844,12240188
14-07-2020,53700,53800,53200,53800,49703.69531,14269484
15-07-2020,54400,55000,54300,54700,50535.17188,24051450
16-07-2020,54800,54800,53800,53800,49703.69531,16779127
17-07-2020,54200,54700,54100,54400,50258.00781,10096174
20-07-2020,54800,54800,54000,54200,50073.24609,10507530
21-07-2020,55200,55400,54800,55300,51089.48828,18297260
22-07-2020,55300,55500,54700,54700,50535.17188,12885057
23-07-2020,54700,54700,53800,54100,49980.86328,16214932
24-07-2020,54000,54400,53700,54200,50073.24609,10994535
27-07-2020,54300,55700,54300,55600,51366.64844,21054421
28-07-2020,57000,58800,56400,58600,54138.22656,48431566
29-07-2020,60300,60400,58600,59000,54507.76953,36476611
30-07-2020,59700,60100,59000,59000,54507.76953,19285354
31-07-2020,59500,59600,57700,57900,53491.53125,21943345
03-08-2020,57800,57900,56700,56800,52475.28125,21158940
04-08-2020,57200,58100,57000,57300,52937.20703,19419694
05-08-2020,57300,57500,56300,56900,52567.67188,17739706
06-08-2020,57100,58400,57100,58000,53583.91016,21625874
07-08-2020,57900,58400,57100,57500,53121.98047,18751717
10-08-2020,57600,58300,57500,57800,53399.13672,17774291
11-08-2020,58000,59500,57800,58200,53768.6875,24907912
12-08-2020,58200,59000,57700,59000,54507.76953,18573934
13-08-2020,59400,59600,58000,58700,54230.62109,22089460
14-08-2020,58000,58400,57700,58000,53583.91016,15672548
18-08-2020,58900,59900,58000,58400,53953.45703,25307825
19-08-2020,59000,59200,57800,57800,53399.13672,16930719
20-08-2020,57600,57600,55300,55400,51181.87891,30386029
21-08-2020,56200,56900,55800,55900,51643.80859,21142288
24-08-2020,55800,56600,55400,56100,51828.57422,15055896
25-08-2020,56400,56800,56100,56400,52105.73828,14021705
26-08-2020,56400,56500,55700,56400,52105.73828,17651593
27-08-2020,56300,56300,55600,55600,51366.64844,16196568
28-08-2020,56100,56300,55400,55400,51181.87891,14619888
31-08-2020,56000,56100,54000,54000,49888.46875,32671367
01-09-2020,54100,54800,54100,54200,50073.24609,19363117
02-09-2020,54600,55100,54100,54400,50258.00781,16905723
03-09-2020,55600,56700,55500,56400,52105.73828,28384920
04-09-2020,55200,55800,55100,55600,51366.64844,22139109
07-09-2020,56100,57300,55800,56500,52198.12891,18685880
08-09-2020,57400,58700,57200,58700,54230.62109,31517520
09-09-2020,58200,59300,57800,58400,53953.45703,30597399
10-09-2020,59900,60000,59100,59200,54692.54688,29923293
11-09-2020,59300,59400,58200,59000,54507.76953,16017098
14-09-2020,60200,60800,59900,60400,55801.18359,20648281
15-09-2020,60900,61000,60500,61000,56355.49609,17877075
16-09-2020,61100,61300,60600,61000,56355.49609,17041444
